Sep 29, 2018 1:25:57 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Sep 29, 2018 1:25:57 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Sep 29, 2018 1:25:57 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /Users/joshventocilla/Documents/apache-karaf-4.2.1/lock
Sep 29, 2018 1:25:57 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Sep 29, 2018 1:25:57 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2018-09-29T13:25:58,552 | INFO  | FelixStartLevel  | fileinstall                      | 10 - org.apache.felix.fileinstall - 3.6.4 | Creating configuration from jmx.acl.java.lang.Memory.cfg
2018-09-29T13:26:00,206 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.2.1
2018-09-29T13:26:00,206 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.apache.karaf.config/org.apache.karaf.config.core/4.2.1
2018-09-29T13:26:00,207 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.features/4.2.1
2018-09-29T13:26:00,207 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.kar/4.2.1
2018-09-29T13:26:00,207 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.wrap/4.2.1
2018-09-29T13:26:00,208 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.core/4.2.1
2018-09-29T13:26:00,209 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.apache.karaf/org.apache.karaf.event/4.2.1
2018-09-29T13:26:00,209 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.2.1
2018-09-29T13:26:00,210 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.apache.karaf.instance/org.apache.karaf.instance.core/4.2.1
2018-09-29T13:26:00,210 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.2.1
2018-09-29T13:26:00,210 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.config/4.2.1
2018-09-29T13:26:00,211 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.modules/4.2.1
2018-09-29T13:26:00,211 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.apache.karaf.kar/org.apache.karaf.kar.core/4.2.1
2018-09-29T13:26:00,211 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.2.1
2018-09-29T13:26:00,211 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.apache.karaf.management/org.apache.karaf.management.server/4.2.1
2018-09-29T13:26:00,211 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.apache.karaf.package/org.apache.karaf.package.core/4.2.1
2018-09-29T13:26:00,212 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.apache.karaf.service/org.apache.karaf.service.core/4.2.1
2018-09-29T13:26:00,212 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.commands/4.2.1
2018-09-29T13:26:00,212 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.core/4.2.1
2018-09-29T13:26:00,212 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.ssh/4.2.1
2018-09-29T13:26:00,213 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.apache.karaf.system/org.apache.karaf.system.core/4.2.1
2018-09-29T13:26:00,213 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.not-yet-commons-ssl/0.3.11_1
2018-09-29T13:26:00,213 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.apache.sshd/sshd-core/1.7.0
2018-09-29T13:26:00,213 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.jline/jline-builtins/3.9.0
2018-09-29T13:26:00,213 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.jline/jline-reader/3.9.0
2018-09-29T13:26:00,214 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.jline/jline-terminal/3.9.0
2018-09-29T13:26:00,214 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.jline/jline-terminal-jansi/3.9.0
2018-09-29T13:26:00,214 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.ops4j.pax.url/pax-url-wrap/2.5.4/jar/uber
2018-09-29T13:26:00,218 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 | Installing bundles:
2018-09-29T13:26:00,219 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2018-09-29T13:26:00,223 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.8
2018-09-29T13:26:00,230 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.2.0
2018-09-29T13:26:00,234 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.aries/org.apache.aries.util/1.1.3
2018-09-29T13:26:00,243 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.2.1
2018-09-29T13:26:00,251 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.config/org.apache.karaf.config.core/4.2.1
2018-09-29T13:26:00,257 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.features/4.2.1
2018-09-29T13:26:00,263 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.kar/4.2.1
2018-09-29T13:26:00,267 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.wrap/4.2.1
2018-09-29T13:26:00,273 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.core/4.2.1
2018-09-29T13:26:00,278 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf/org.apache.karaf.event/4.2.1
2018-09-29T13:26:00,283 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.2.1
2018-09-29T13:26:00,289 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.instance/org.apache.karaf.instance.core/4.2.1
2018-09-29T13:26:00,296 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.2.1
2018-09-29T13:26:00,301 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.config/4.2.1
2018-09-29T13:26:00,306 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.modules/4.2.1
2018-09-29T13:26:00,325 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.kar/org.apache.karaf.kar.core/4.2.1
2018-09-29T13:26:00,331 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.2.1
2018-09-29T13:26:00,337 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.management/org.apache.karaf.management.server/4.2.1
2018-09-29T13:26:00,343 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.package/org.apache.karaf.package.core/4.2.1
2018-09-29T13:26:00,347 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.service/org.apache.karaf.service.core/4.2.1
2018-09-29T13:26:00,352 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.commands/4.2.1
2018-09-29T13:26:00,358 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.core/4.2.1
2018-09-29T13:26:00,374 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.ssh/4.2.1
2018-09-29T13:26:00,381 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.karaf.system/org.apache.karaf.system.core/4.2.1
2018-09-29T13:26:00,387 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.not-yet-commons-ssl/0.3.11_1
2018-09-29T13:26:00,396 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.sshd/sshd-core/1.7.0
2018-09-29T13:26:00,427 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.jline/jline-builtins/3.9.0
2018-09-29T13:26:00,435 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.jline/jline-reader/3.9.0
2018-09-29T13:26:00,441 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.jline/jline-terminal/3.9.0
2018-09-29T13:26:00,448 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.jline/jline-terminal-jansi/3.9.0
2018-09-29T13:26:00,453 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.ops4j.pax.url/pax-url-wrap/2.5.4/jar/uber
2018-09-29T13:26:00,613 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 | Starting bundles:
2018-09-29T13:26:00,615 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.ops4j.pax.url.wrap/2.5.4
2018-09-29T13:26:00,625 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.aries.util/1.1.3
2018-09-29T13:26:00,628 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.deployer.wrap/4.2.1
2018-09-29T13:26:00,638 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.deployer.kar/4.2.1
2018-09-29T13:26:00,647 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.deployer.features/4.2.1
2018-09-29T13:26:00,753 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.jline.terminal/3.9.0
2018-09-29T13:26:00,755 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.jline.reader/3.9.0
2018-09-29T13:26:00,757 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.jline.builtins/3.9.0
2018-09-29T13:26:00,759 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.shell.core/4.2.1
2018-09-29T13:26:00,817 | INFO  | features-3-thread-1 | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Registering commands for bundle org.apache.karaf.deployer.kar/4.2.1
2018-09-29T13:26:01,083 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.config.core/4.2.1
2018-09-29T13:26:01,151 | INFO  | features-3-thread-1 | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Registering commands for bundle org.apache.karaf.config.core/4.2.1
2018-09-29T13:26:01,194 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.aries.jmx.api/1.1.5
2018-09-29T13:26:01,195 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.aries.jmx.core/1.1.8
2018-09-29T13:26:01,203 | INFO  | features-3-thread-1 | core                             | 14 - org.apache.aries.jmx.core - 1.1.8 | Starting JMX OSGi agent
2018-09-29T13:26:01,228 | INFO  | features-3-thread-1 | core                             | 14 - org.apache.aries.jmx.core - 1.1.8 | Registering MBean with ObjectName [osgi.compendium:service=cm,version=1.3,framework=org.apache.felix.framework,uuid=90adb8ad-0e2e-4f11-9204-da55a686ef5a] for service with service.id [13]
2018-09-29T13:26:01,231 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.jaas.config/4.2.1
2018-09-29T13:26:01,242 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.management.server/4.2.1
2018-09-29T13:26:01,255 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.features.command/4.2.1
2018-09-29T13:26:01,282 | INFO  | features-3-thread-1 | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Registering commands for bundle org.apache.karaf.features.command/4.2.1
2018-09-29T13:26:01,283 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.instance.core/4.2.1
2018-09-29T13:26:01,285 | INFO  | activator-1-thread-1 | core                             | 14 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.framework.FrameworkMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@2f10fb77 with name osgi.core:type=framework,version=1.7,framework=org.apache.felix.framework,uuid=90adb8ad-0e2e-4f11-9204-da55a686ef5a
2018-09-29T13:26:01,286 | INFO  | activator-1-thread-1 | core                             | 14 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.framework.wiring.BundleWiringStateMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@2f10fb77 with name osgi.core:type=wiringState,version=1.1,framework=org.apache.felix.framework,uuid=90adb8ad-0e2e-4f11-9204-da55a686ef5a
2018-09-29T13:26:01,289 | INFO  | activator-1-thread-1 | core                             | 14 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.framework.ServiceStateMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@2f10fb77 with name osgi.core:type=serviceState,version=1.7,framework=org.apache.felix.framework,uuid=90adb8ad-0e2e-4f11-9204-da55a686ef5a
2018-09-29T13:26:01,291 | INFO  | activator-1-thread-1 | core                             | 14 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.service.cm.ConfigurationAdminMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@2f10fb77 with name osgi.compendium:service=cm,version=1.3,framework=org.apache.felix.framework,uuid=90adb8ad-0e2e-4f11-9204-da55a686ef5a
2018-09-29T13:26:01,291 | INFO  | activator-1-thread-1 | core                             | 14 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.framework.PackageStateMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@2f10fb77 with name osgi.core:type=packageState,version=1.5,framework=org.apache.felix.framework,uuid=90adb8ad-0e2e-4f11-9204-da55a686ef5a
2018-09-29T13:26:01,292 | INFO  | activator-1-thread-1 | core                             | 14 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.framework.BundleStateMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@2f10fb77 with name osgi.core:type=bundleState,version=1.7,framework=org.apache.felix.framework,uuid=90adb8ad-0e2e-4f11-9204-da55a686ef5a
2018-09-29T13:26:01,509 | INFO  | features-3-thread-1 | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Registering commands for bundle org.apache.karaf.instance.core/4.2.1
2018-09-29T13:26:01,511 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.kar.core/4.2.1
2018-09-29T13:26:01,535 | INFO  | features-3-thread-1 | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Registering commands for bundle org.apache.karaf.kar.core/4.2.1
2018-09-29T13:26:01,536 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.system.core/4.2.1
2018-09-29T13:26:01,569 | INFO  | features-3-thread-1 | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Registering commands for bundle org.apache.karaf.system.core/4.2.1
2018-09-29T13:26:01,570 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.servicemix.bundles.not-yet-commons-ssl/0.3.11.1
2018-09-29T13:26:01,573 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.aries.jmx.whiteboard/1.2.0
2018-09-29T13:26:01,633 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.jaas.modules/4.2.1
2018-09-29T13:26:01,661 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.jaas.command/4.2.1
2018-09-29T13:26:01,694 | INFO  | features-3-thread-1 | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Registering commands for bundle org.apache.karaf.jaas.command/4.2.1
2018-09-29T13:26:01,699 | INFO  | features-3-thread-1 | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Updating commands for bundle org.apache.karaf.jaas.command/4.2.1
2018-09-29T13:26:01,701 | INFO  | features-3-thread-1 | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Updating commands for bundle org.apache.karaf.jaas.command/4.2.1
2018-09-29T13:26:01,702 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.package.core/4.2.1
2018-09-29T13:26:01,722 | INFO  | features-3-thread-1 | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Registering commands for bundle org.apache.karaf.package.core/4.2.1
2018-09-29T13:26:01,723 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.diagnostic.core/4.2.1
2018-09-29T13:26:01,747 | INFO  | features-3-thread-1 | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Registering commands for bundle org.apache.karaf.diagnostic.core/4.2.1
2018-09-29T13:26:01,756 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.shell.commands/4.2.1
2018-09-29T13:26:01,780 | INFO  | features-3-thread-1 | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Registering commands for bundle org.apache.karaf.shell.commands/4.2.1
2018-09-29T13:26:01,781 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.sshd.core/1.7.0
2018-09-29T13:26:01,783 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.shell.ssh/4.2.1
2018-09-29T13:26:01,844 | INFO  | features-3-thread-1 | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Command registration delayed for bundle org.apache.karaf.shell.ssh/4.2.1. Missing dependencies: [org.apache.sshd.server.SshServer]
2018-09-29T13:26:01,845 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.log.core/4.2.1
2018-09-29T13:26:01,879 | INFO  | features-3-thread-1 | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Registering commands for bundle org.apache.karaf.log.core/4.2.1
2018-09-29T13:26:01,884 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.service.core/4.2.1
2018-09-29T13:26:01,897 | INFO  | features-3-thread-1 | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Registering commands for bundle org.apache.karaf.service.core/4.2.1
